event_name,events,distinct_users,events_on_shards_with_usd_column,usd_positive_events,usd_positive_users,price_param_positive_events,price_param_positive_users,ltv_revenue_positive_events,ltv_revenue_positive_users
__ALL_EVENTS__,5700000,15175,4950000,24,24,27,27,105778,146
in_app_purchase,27,27,24,24,24,27,27,27,27
screen_view,2247623,14077,1999247,0,0,0,0,40880,134
user_engagement,1358958,13588,1158645,0,0,0,0,25157,120
level_start_quickplay,523430,10166,443891,0,0,0,0,10268,99
level_end_quickplay,349729,8168,296044,0,0,0,0,8117,86
post_score,242051,8580,207475,0,0,0,0,4748,78
level_complete_quickplay,191088,5676,170790,0,0,0,0,3952,61
level_fail_quickplay,137035,6343,115126,0,0,0,0,3233,71
level_reset_quickplay,122278,3517,103795,0,0,0,0,1746,44
select_content,105139,11111,93294,0,0,0,0,1209,97
level_start,74417,4774,62956,0,0,0,0,682,32
session_start,74353,12261,63990,0,0,0,0,1217,106
level_end,54582,4378,46065,0,0,0,0,515,28
level_retry,43345,3528,36758,0,0,0,0,287,23
level_up,35666,3898,30635,0,0,0,0,400,24
level_complete,33986,3658,29625,0,0,0,0,350,22
level_retry_quickplay,29939,2940,25186,0,0,0,0,2325,31
level_fail,17353,2379,14551,0,0,0,0,108,18
spend_virtual_currency,9363,2044,8541,0,0,0,0,107,14
use_extra_steps,8945,1884,8131,0,0,0,0,106,13
level_reset,8535,1806,7249,0,0,0,0,66,11
firebase_campaign,5411,2735,4932,0,0,0,0,0,0
app_exception,5156,789,4425,0,0,0,0,109,5
first_open,4322,4319,3963,0,0,0,0,0,0
os_update,3290,3003,2579,0,0,0,0,39,35
no_more_extra_steps,2792,1193,2440,0,0,0,0,37,9
app_remove,2639,2635,2272,0,0,0,0,10,10
app_update,2473,2312,2037,0,0,0,0,21,20
ad_reward,1912,354,1613,0,0,0,0,38,8
completed_5_levels,1867,1597,1644,0,0,0,0,18,12
error,1714,595,1553,0,0,0,0,4,3
challenge_a_friend,524,246,477,0,0,0,0,2,1
dynamic_link_app_open,19,11,16,0,0,0,0,0,0
app_clear_data,17,15,13,0,0,0,0,0,0
dynamic_link_first_open,16,16,13,0,0,0,0,0,0
challenge_accepted,5,4,4,0,0,0,0,0,0
notification_foreground,1,1,1,0,0,0,0,0,0
