section,key,events_deduped,events_raw,duplicate_rows,users
totals,all_event_names,5699793,5700000,207,15175
population,users_excluded_from_funnel_population,,,,0
population,users_in_funnel_population,,,,15175
population,users_with_first_open,,,,4319
population,users_without_first_open,,,,10856
event,screen_view,2247537,2247623,86,14077
event,user_engagement,1358913,1358958,45,13588
event,level_start_quickplay,523416,523430,14,10166
event,level_end_quickplay,349715,349729,14,8168
event,post_score,242039,242051,12,8580
event,level_complete_quickplay,191078,191088,10,5676
event,level_fail_quickplay,137032,137035,3,6343
event,level_reset_quickplay,122276,122278,2,3517
event,select_content,105137,105139,2,11111
event,level_start,74412,74417,5,4774
event,session_start,74353,74353,0,12261
event,level_end,54578,54582,4,4378
event,level_retry,43342,43345,3,3528
event,level_up,35665,35666,1,3898
event,level_complete,33985,33986,1,3658
event,level_retry_quickplay,29936,29939,3,2940
event,level_fail,17352,17353,1,2379
event,spend_virtual_currency,9362,9363,1,2044
event,use_extra_steps,8945,8945,0,1884
event,level_reset,8535,8535,0,1806
event,firebase_campaign,5411,5411,0,2735
event,app_exception,5156,5156,0,789
event,first_open,4322,4322,0,4319
event,os_update,3290,3290,0,3003
event,no_more_extra_steps,2792,2792,0,1193
event,app_remove,2639,2639,0,2635
event,app_update,2473,2473,0,2312
event,ad_reward,1912,1912,0,354
event,completed_5_levels,1867,1867,0,1597
event,error,1714,1714,0,595
event,challenge_a_friend,524,524,0,246
event,in_app_purchase,27,27,0,27
event,dynamic_link_app_open,19,19,0,11
event,app_clear_data,17,17,0,15
event,dynamic_link_first_open,16,16,0,16
event,challenge_accepted,5,5,0,4
event,notification_foreground,1,1,0,1
